,Year.Month,Month.Number,Year,Month,Cotagecheese.Prod,Icecream.Prod,Milk.Prod,N.CA.Fat.Price
1,2001.01,1,2001,Jan,4.37,51.595,2.112,0.9803
2,2001.02,2,2001,Feb,3.695,56.086,1.932,0.8924
3,2001.03,3,2001,Mar,4.538,68.453,2.162,0.8924
4,2001.04,4,2001,Apr,4.28,65.722,2.13,0.8967
5,2001.05,5,2001,May,4.47,73.73,2.227,0.8967
6,2001.06,6,2001,June,4.238,77.994,2.124,0.916
7,2001.07,7,2001,July,4.377,81.475,2.184,0.916
8,2001.08,8,2001,Aug,4.368,74.981,2.152,0.8934
9,2001.09,9,2001,Sept,3.917,61.53,2.062,0.8934
10,2001.1,10,2001,Oct,4.078,60.022,2.121,0.9434
11,2001.11,11,2001,Nov,3.611,52.772,2.03,0.9434
12,2001.12,12,2001,Dec,3.591,50.85,2.091,1.0811
13,2002.01,1,2002,Jan,3.698,53.116,2.109,1.0811
14,2002.02,2,2002,Feb,3.429,57.463,1.996,1.1022
15,2002.03,3,2002,Mar,3.717,68.929,2.173,1.1022
16,2002.04,4,2002,Apr,3.688,69.673,2.163,1.048
17,2002.05,5,2002,May,3.897,77.387,2.233,1.048
18,2002.06,6,2002,June,3.756,86.814,2.142,1.073
19,2002.07,7,2002,July,4.099,83.006,2.182,1.073
20,2002.08,8,2002,Aug,3.979,79.26,2.129,1.2333
21,2002.09,9,2002,Sept,3.73,69.216,2.138,1.2333
22,2002.1,10,2002,Oct,4.214,64.556,2.215,1.372
23,2002.11,11,2002,Nov,4.418,54.378,2.156,1.372
24,2002.12,12,2002,Dec,3.323,53.291,2.212,1.3974
25,2003.01,1,2003,Jan,3.761,55.565,2.177,1.3974
26,2003.02,2,2003,Feb,3.404,58.962,2.028,1.0004
27,2003.03,3,2003,Mar,3.552,72.866,2.361,1.0004
28,2003.04,4,2003,Apr,3.489,74.965,2.358,1.0004
29,2003.05,5,2003,May,3.398,75.425,2.417,1.0004
30,2003.06,6,2003,June,3.67,85.133,2.314,1.0247
31,2003.07,7,2003,July,3.697,83.144,2.386,1.0247
32,2003.08,8,2003,Aug,3.633,75.258,2.366,0.9407
33,2003.09,9,2003,Sept,3.433,70.23,2.258,0.9407
34,2003.1,10,2003,Oct,3.313,61.385,2.351,1.1614
35,2003.11,11,2003,Nov,2.982,53.516,2.263,1.1614
36,2003.12,12,2003,Dec,2.947,55.289,2.303,1.2054
37,2004.01,1,2004,Jan,3.069,51.239,2.341,1.2054
38,2004.02,2,2004,Feb,2.519,61.373,2.081,1.2463
39,2004.03,3,2004,Mar,3.015,73.202,2.344,1.2463
40,2004.04,4,2004,Apr,2.971,72.327,2.314,1.2435
41,2004.05,5,2004,May,2.876,74.358,2.432,1.2435
42,2004.06,6,2004,June,2.853,86.093,2.317,1.0849
43,2004.07,7,2004,July,3.098,85.398,2.309,1.0849
44,2004.08,8,2004,Aug,3.007,80.306,2.271,1.3208
45,2004.09,9,2004,Sept,2.843,70.906,2.185,1.3208
46,2004.1,10,2004,Oct,2.909,59.909,2.363,1.5216
47,2004.11,11,2004,Nov,2.931,55.138,2.283,1.5216
48,2004.12,12,2004,Dec,2.597,55.748,2.38,1.7015
49,2005.01,1,2005,Jan,2.628,54.842,2.439,1.7015
50,2005.02,2,2005,Feb,2.496,62.058,2.245,1.7723
51,2005.03,3,2005,Mar,3.093,76.594,2.605,1.7723
52,2005.04,4,2005,Apr,2.801,75.76,2.575,1.1089
53,2005.05,5,2005,May,2.702,77.564,2.659,1.1089
